"Number","Address","Data","Content","Time","AUX",
"142.0","00.14D4","00D4","debugIOFaultArg","45.898126783 s ","0000",
"","","","Memory Write","","",
"144.0","00.DEC0","FF3B","void ioFault (IO_FAULT_DRIVER id, IO_FAULT_CODE code, IO_FAULT_ARG arg)","49.388470966 s ","0000",
"","","","ioFault","","",
"","","","3B PSHD     ","","",
"","","","OP-CODE Fetch","","",
"146.0","00.DEBA","DE52","(void)_asm ("orcc #0x50\n");","50.890769683 s ","0000",
"","","","systemFault","","",
"","","","DE52 LDX      TC1 (52)","","",
"","","","OP-CODE Fetch","","",
"148.0","00.D126","D744","ldab    #0x44       ; Select 2**20 divisor and suspend on BDM","51.095418833 s ","0000",
"","","","D7 TSTB     ","","",
"","","","OP-CODE Fetch","","",
"149.0","00.003C","443C","COPCTL","51.095420866 s ","0000",
"","","","Memory Write","","",
"151.0","00.14D4","3FEC","debugIOFaultArg","51.114645900 s ","0000",
"","","","debugIOFaultCode","","",
"","","","Memory Write","","",
"152.0","00.14D6","42E7","debugIOFaultDriver","51.114646266 s ","0000",
"","","","CfgRxBuf","","",
"","","","Memory Write","","",
"153.0","00.14D4","01D4","debugIOFaultArg","51.122582666 s ","0000",
"","","","Memory Write","","",
"154.0","00.14D4","02D4","debugIOFaultArg","51.122582783 s ","0000",
"","","","Memory Write","","",
"155.0","00.14D4","04D4","debugIOFaultArg","51.122582950 s ","0000",
"","","","Memory Write","","",
"156.0","00.14D4","08D4","debugIOFaultArg","51.122583116 s ","0000",
"","","","Memory Write","","",
"157.0","00.14D4","10D4","debugIOFaultArg","51.122583266 s ","0000",
"","","","Memory Write","","",
"158.0","00.14D4","20D4","debugIOFaultArg","51.122583433 s ","0000",
"","","","Memory Write","","",
"159.0","00.14D4","40D4","debugIOFaultArg","51.122583600 s ","0000",
"","","","Memory Write","","",
"160.0","00.14D4","80D4","debugIOFaultArg","51.122583766 s ","0000",
"","","","Memory Write","","",
"161.0","00.14D4","00D4","debugIOFaultArg","51.122583916 s ","0000",
"","","","Memory Write","","",
"162.0","00.14D4","1401","debugIOFaultCode","51.122584400 s ","0000",
"","","","Memory Write","","",
"163.0","00.14D4","1402","debugIOFaultCode","51.122584533 s ","0000",
"","","","Memory Write","","",
"164.0","00.14D4","1404","debugIOFaultCode","51.122584700 s ","0000",
"","","","Memory Write","","",
"165.0","00.14D4","1408","debugIOFaultCode","51.122584850 s ","0000",
"","","","Memory Write","","",
"166.0","00.14D4","1410","debugIOFaultCode","51.122585016 s ","0000",
"","","","Memory Write","","",
"167.0","00.14D4","1420","debugIOFaultCode","51.122585183 s ","0000",
"","","","Memory Write","","",
"168.0","00.14D4","1440","debugIOFaultCode","51.122585350 s ","0000",
"","","","Memory Write","","",
"169.0","00.14D4","1480","debugIOFaultCode","51.122585500 s ","0000",
"","","","Memory Write","","",
"170.0","00.14D4","1400","debugIOFaultCode","51.122585666 s ","0000",
"","","","Memory Write","","",
"171.0","00.14D6","01D6","debugIOFaultDriver","51.122586150 s ","0000",
"","","","Memory Write","","",
"172.0","00.14D6","02D6","debugIOFaultDriver","51.122586283 s ","0000",
