"Number","Address","Data","Content","Time","AUX",
"359.0","00.EDB8","FF12"," INVALID_OPCODE","10.009034 ms
10.009034 ms","0000",
"","","","OP-CODE Fetch","","",
"361.0","00.EDB8","FF12"," INVALID_OPCODE","10.067783 ms
10.067783 ms","0000",
"","","","OP-CODE Fetch","","",
"363.0","00.EDB8","FF12"," INVALID_OPCODE","9.917483 ms
9.917483 ms","0000",
"","","","OP-CODE Fetch","","",
"365.0","00.EDB8","FF12"," INVALID_OPCODE","10.057500 ms
10.057500 ms","0000",
"","","","OP-CODE Fetch","","",
"367.0","00.EDB8","FF12"," INVALID_OPCODE","9.970717 ms
9.970717 ms","0000",
"","","","OP-CODE Fetch","","",
"369.0","00.EDB8","FF12"," INVALID_OPCODE","10.053733 ms
10.053733 ms","0000",
"","","","OP-CODE Fetch","","",
"371.0","00.EDB8","FF12"," INVALID_OPCODE","9.935684 ms
9.935684 ms","0000",
"","","","OP-CODE Fetch","","",
"373.0","00.EDB8","FF12"," INVALID_OPCODE","9.999733 ms
9.999733 ms","0000",
"","","","OP-CODE Fetch","","",
"375.0","00.EDB8","FF12"," INVALID_OPCODE","10.001483 ms
10.001483 ms","0000",
"","","","OP-CODE Fetch","","",
"377.0","00.EDB8","FF12"," INVALID_OPCODE","9.985184 ms
9.985184 ms","0000",
"","","","OP-CODE Fetch","","",
"379.0","00.EDB8","FF12"," INVALID_OPCODE","10.074450 ms
10.074450 ms","0000",
"","","","OP-CODE Fetch","","",
"381.0","00.EDB8","FF12"," INVALID_OPCODE","9.962383 ms
9.962383 ms","0000",
"","","","OP-CODE Fetch","","",
"383.0","00.EDB8","FF12"," INVALID_OPCODE","9.966450 ms
9.966450 ms","0000",
"","","","OP-CODE Fetch","","",
"385.0","00.EDB8","FF12"," INVALID_OPCODE","10.007967 ms
10.007967 ms","0000",
"","","","OP-CODE Fetch","","",
"387.0","00.EDB8","FF12"," INVALID_OPCODE","10.069116 ms
10.069116 ms","0000",
"","","","OP-CODE Fetch","","",
"389.0","00.EDB8","FF12"," INVALID_OPCODE","9.949650 ms
9.949650 ms","0000",
"","","","OP-CODE Fetch","","",
"391.0","00.EDB8","FF12"," INVALID_OPCODE","10.010750 ms
10.010750 ms","0000",
"","","","OP-CODE Fetch","","",
"393.0","00.EDB8","FF12"," INVALID_OPCODE","10.035600 ms
10.035600 ms","0000",
"","","","OP-CODE Fetch","","",
"395.0","00.EDB8","FF12"," INVALID_OPCODE","9.928434 ms
9.928434 ms","0000",
"","","","OP-CODE Fetch","","",
"397.0","00.EDB8","FF12"," INVALID_OPCODE","10.104133 ms
10.104133 ms","0000",
"","","","OP-CODE Fetch","","",
"399.0","00.EDB8","FF12"," INVALID_OPCODE","9.929000 ms
9.929000 ms","0000",
"","","","OP-CODE Fetch","","",
"401.0","00.EDB8","FF12"," INVALID_OPCODE","9.990183 ms
9.990183 ms","0000",
"","","","OP-CODE Fetch","","",
"403.0","00.EDB8","FF12"," INVALID_OPCODE","10.073067 ms
10.073067 ms","0000",
"","","","OP-CODE Fetch","","",
"405.0","00.EDB8","FF12"," INVALID_OPCODE","9.975800 ms
9.975800 ms","0000",
"","","","OP-CODE Fetch","","",
"407.0","00.EDB8","FF12"," INVALID_OPCODE","9.965650 ms
9.965650 ms","0000",
"","","","OP-CODE Fetch","","",
"409.0","00.EDB8","FF12"," INVALID_OPCODE","9.981133 ms
9.981133 ms","0000",
